"AREA","BED","BATH","BUILT","DESCRIPTION","LOTSIZE","PRICE","TYPE"
3887,5,5,1955,"Totally renovated, top to bottom, this 5-bedroom charmer has an easy/open layout with hardwood floors, wonderful natural light and fresh/modern finishes throughout. All new windows, doors and high-efficiency mechanical systems. Beautifully renovated bathrooms, brand new eat-in kitchen with premier appliances. Separate bedroom suite on the 2nd floor, plus a finished walk-out lower level add a surprising amount of ''getaway'' space. Set back from the coveted Mid-Country lane on nearly 2 acres, this fenced property offers privacy and lovely outdoor play space. Full-house generator, 3-car garage.","1.88 Acres",2695000,"SingleFamily"
4430,4,5,2002,"Welcome Home to this wonderful, Classic Colonial with a lovely Open Floor Plan and a lightly wooded, level backyard in desirable Ledgebrook Estates subdivision. This home is well maintained, freshly painted and has many lovely features to it. This home consists of 4 bedrooms, 3 full baths and 2 half baths. The kitchen has plenty of sunlight coming in with a center isle and spacious cabinet space and pantry and a large dining area. The formal living room has custom built ins and lovely hardwood floor, and crown molding. The formal dining room has hardwood floor with a walnut inlay, crown molding, chair rail and raised paneling. The master suite has a dressing room, a very large walk in closet and a 17 X 10 master bathroom. The other 3 bedrooms are generous in size and has a hallway bathroom and there is also a Jack N Jill full bathroom. There is also a full, walk up attic. The basement is fully finished with a walk out and has a rec room, an office with built in desks and a media room with pocket doors.  For your convenience, the laundry is on the 2nd floor. Home is conveniently located with easy access to highway, schools, shopping areas, great restaurants and the CT Wine Trail is close by. Be a part of this wonderful community, Southbury is known for it's excellent schools. Close proximity to Hartford, New York and Boston.","64468 sqft",699900,"SingleFamily"
3756,4,4,1900,"South Cheshire at it's best, This stately historic Colonial  is nestled up on the knoll of South Brooksvale Road, From the front porch enjoy the view across the street  of Cheshire land trust property.  Enter this home from the front porch to a welcoming  2-story entry.  The first floor includes an updated eat-in  Kitchen with custom cherry cabinetry, Gibraltar counter tops, large Island with prep sink, 5 burner gas range, double ovens, separate laundry area with cabinets; Living room features coffered ceilings, wood burning fireplace with large mantle, over-sized windows, French Doors to the sun porch;Office with built ins and  wainscoting;Dining room also has built in storage, wainscoting and large windows. Family room boasts a propane gas log fireplace with hand-carved mantle, French doors; the second floor has 4 bedrooms with hardwood floors and 3 full baths,including a master bedroom suite, its own sitting area, walk in closet, oversize en-suite bath with double vanity sinks, steam shower and jetted tub;3 additional bedrooms,2 additional full baths including a  “Jack and Jill” bathroom.The oversize Sun porch stretches across the back of this home ~Over-sized deck ~perennial gardens, stone walls, large lawn area for entertaining~Gutter Helmet with heat cables on the second story~Leaf Guards on first story~2-275 Oil Tanks~ 4 zone Oil Baseboard Heat~City Water~Septic~Propane for cooking&Fireplace~ Historic District~Easy Commute to Merritt Parkway and 91~","80150 sqft",449900,"SingleFamily"
1339,4,1,1956,"Wonderful Mt. Carmel home, situated at the end of a cul de sac ! This 4 bedroom split level has been wonderfully maintained & cared for! Inviting, sun filled living room with hardwood floors, formal dining room opening to the bright & open kitchen. A large sun room The upper level has three bedrooms - each with hardwood flooring, plus a full bathroom. The lower level is finished with a 4th bedroom that has wall to wall carpeting, a laundry room, very large workshop space plus additional storage. One car garage, Brand new oil tank, large lot - all located at a very convenient location!","15681 sqft",259000,"SingleFamily"
2872,6,5,1830,"PRICED TO SELL - BRING ALL OFFERS! This Classic Historic New England, Antique Colonial Farmhouse dating back to the late 1700's, is beautifully sited on 433.9+ acres in the foothills of the Berkshire Mountains. The home offers the original wide plank flooring, four fireplaces and plenty of original features throughout the house. The home is in need of renovations to be brought back to its original beauty. There is a natural spring-fed swimming pool with 21 acres of cleared land with the original stone walls and large pond on the property. This truly is an amazing property and the beauty of nature abounds in this magnificent setting. The opportunities are endless for this property. It could make an amazing Equestrian Facilty, Hunting Lodge, Glamping property, Camp for Fishing, Training, Hiking, Rehabiltation Facililty, Recreation Area, Corporate Campus, Country Inn and Resort, Bed and Breakfast, Wedding Venue, Destination Retreat and Spa, Development - Estate, Lots. This property is CERTIFIED ORGANIC, so it could be used for Farm-to-Table farming, Apple/Pear/Fruit Trees, herbs, vegetables, farming for grains, hops and/or barley for micro breweries, a farming industry that has become a giant, fast-growing investment opportunity. Don't miss out on this amazing property. MOTIVATED SELLER!","433.90 Acres",1195000,"SingleFamily"
3649,4,3,1969,"Attractive Four Bedroom Salt Box Colonial in desirable Meadowood Estates. The home has a wonderful floor plan with very spacious rooms. There are hardwood floors throughout the main and upper level. Bonus room above the garage. Fireplaces in both Living and Family Rooms. Central Air, screened in porch and large deck overlooking private back yard. Additional game room in the lower level. This home is being sold as is. A lot of house for the money...","50529 sqft",765000,"SingleFamily"
2676,3,4,1991,"This house is priced to sell and is waiting for the right family to call it home.  Situated on a nice lot set off the road with a long driveway is this spacious colonial with many possibilities for you and/or your family.  If you need a separate office space or have company that needs a separate area or a possibility of in-law set up this is for you! You will love the two finished bedrooms with a full bath and the open family room/gym that can be utilized for whatever your needs are.  As you walk into the home you will be greeted by the foyer with the custom tile installed when it was built.  The home will welcome you into the great entertaining space of the family room and eat-in kitchen that both have sliders leading you to a deck overlooking the back yard.   There is newer hardwood flooring installed last year in the Formal Dining Room, Formal livingRoom and the Family Room.  The eat in kitchen has plenty of cabinets and a pantry closet with the washer/dryer.  The staircase leads you to the upstairs will you will find the Master Suite with a large master bedroom, walk in closet and full bath.  Two additional bedrooms and another full bath in the upstairs.  Generous size closets in each room.  Brand new roof put on this week, propane heat with furnace less than 5 years old, electric hot water heater, City water, Newer 5 bedroom septic tank installed (about 2 years) & CAIR.  2 car garage under house around the back of home with plenty of parking space.","27442 sqft",369900,"SingleFamily"
2105,3,2,1967,"This Home Has Been Lovingly Cared For By This Seller Since It Was Built New! That's Right, This Is An Original Owner Home. Meticulously  Kept, Super Clean Almost Everything Is Just As It Was When New. The Most Recent Updates Are The Roof Is New In 2018, The Main Level Windows (Other Than The Bay Window) Are Harvey Thermal Windows New In 2018 As Well. While The Carpeting Is In Great Condition, Hardwood Floors Under The Carpeting In The Main Level Hall And Bedrooms.  This Home Comes With A Like New Honda 6,500 Watt, Electric Start, Back-Up Generator And Transfer Switch Panel All Installed, Wired And Ready To Go If The Power Goes Out. The Walk-Out Lower Level Has A Large Rec-Room With A Fireplace / Wood Stove, Bar, Large Half-Bath, Natural Light From Several Windows And A Nice Atrium Door To The Great .58-Acre Corner Lot Yard With A Shed. The Driveway Is NOT A Shared Driveway. You Own Your Driveway. The Two Driveways Pavement Is Connected Across The Property Line But Each Property Has It's Own Driveway And They Happen To Connect To Each Other. Please Submit Offers On GHAR Contract.  Please Submit All Offers As One (1) Single pdf File","25264 sqft",235000,"SingleFamily"
2622,4,3,2021,"Newly updated listing with many newly added features! Foundation is in, framing to start soon. Delivery in Fall 2021 or early 2022. There is still time to add custom finishing touches. Own this classically styled colonial with exceptional craftsmanship, to be built, similar to photo. Located at Grand View Farms, a cul-du-sac community in Columbia, CT on beautiful level open lots, plenty of room with great views. We can customize this or your plan to make it truly your dream creation! Now featuring 9' first floor ceilings. This spacious home features a first floor open floor plan, hardwood flooring throughout (tile in bath and mudroom) with a large living and dining rooms, half bath and mud room. First floor can also be configured with dedicated office space. Attached, oversize 2 car garage. The upstairs has 4 bedrooms, a laundry and shared bath. The full featured master bedroom suite has 2 large walk in closets and private bathroom. This home features central air conditioning, warm air heat (propane), granite counter tops, premium kitchen cabinets, recessed lighting, a farm style composite front porch, composite 12'x16' rear deck, concrete front walkway, paved driveway and many other amenities - a deluxe new home experience.","67518 sqft",519900,"SingleFamily"
2325,3,2,1939,"OPPORTUNITY TO LIVE RIGHT BY THE WATER WITH WATERVIEWS.   This 3 bedroom 1.5 bath home located in St-Mary's-by-the Sea has been fully updated inside.  This beautiful home has an open floor plan on the main floor with a nice gas fireplace and a Sunroom.  The second floor has 3 bedrooms and a full bathroom.  3rd floor has a great bonus room.  Key Features: Hardwood floors, Newer Kitchen with Granite counters and updated appliances, newer central air, and gorgeous landscaping.  Showings start 4/22/2021.","6098 sqft",680000,"SingleFamily"
4380,7,8,1818,"One of the most charming and modernized federalist colonials set on picturesque 2.5 acres. This historic residence long known as The John Moseley House is the epitome of architecture with refined millwork, built-ins, and gorgeous chestnut wood floors. Attention to detail is evident throughout the home & is currently operated as a bed and breakfast. The expansive kitchen is updated w/granite, 2 separate sinks, new backsplash, custom cabinetry, pantries, an oversized island w/seating, & coffee bar. The  blue stone patio is located just off the kitchen & offers plenty of room to entertain in privacy of the grounds. The living areas each have their own fireplace & built-ins, offering plenty of space to host guests, family or friends. The well appointed bedrooms each have their own full baths. The innkeepers quarters, located on the main level, has gorgeous custom built-ins, a living room/office with fireplace/woodstove, full bath, with access to an enclosed screened porch.  There are three complete levels of living space and a walk-in attic, from the gabled third floor.  Attached is a 2 car garage, storage loft with stairs. The ""shed"" has an add'l 420 sf with many possibilities, located just off the garage. The landscaped grounds are lined w/ stone walls, maple trees, & a secluded in-ground gunite pool. A small pond overlooks the backyard and the gazebo is a perfect spot to watch the sunset.","112384 sqft",975000,"SingleFamily"
1627,3,2,1938,"Updated and Spacious Cape Cod in the Mill River Country Club Area!! The Main Level Features a Bright Kitchen with Granite Countertops, Dining Room,  Living Room with Harwood Floors and a Large Bedroom. The Upper Level has 2 Bedrooms and an Updated Full Bath. The Lower Level Features the Family Room, Laundry and Plenty of Storage Space. Gas Heat and Newer Roof Complete the Package. Please Schedule a Private Showing Before It's Gone!!!!!","10890 sqft",310000,"SingleFamily"
2079,3,3,1983,"Spacious, well cared for expanded Cape in sought after Maple Hill. Remodeled country Kitchen with granite counters, new cabinets Pergo flooring and all appliances. You'll love the stylish open floor plan on the main level that includes a formal Dining Rm or 4th bedroom. Main level Family room w/fireplace, a private staircase to the Master Bedroom. There are sliders to a large deck overlooking the lovely, level nicely landscaped rear yard that's great for entertaining. The main staircase gives bedrooms on the second floor and another full bath. Newer maintenance free exterior completes the package. Great commuter location close to all major highways and NY/New Haven Railroad.Multiple offers. Highest and best by 12 noon 4/19/21","10454 sqft",269900,"SingleFamily"
1013,2,1,1948,"Location, Location! Are you a first time buyer? Downsizing? Or looking for a great condo alternative? This unique Ranch style home offers open concept layout w/living room, dining area and 2 graciously sized bedrooms with hardwood floors and custom crafted built-in. In addition, the kitchen has been remodeled with granite counters, tile floors and stainless steel appliances. There’s a quaint sunporch with French doors to the back yard. Conveniently located right off Route 6, bordered by mature trees and shrubs providing natural screening creating privacy to this large level lot. Plenty of closets and storage throughout the house, including a one car attached garage. You will appreciate the low maintenance of this steel fabricated modular home situated on a slab. This a great value and location, nestled in a well established Farmington neighborhood. Only minutes away from hiking trails, I-84, shopping and restaurants. Arrange for your private tour today.","26136 sqft",199900,"SingleFamily"
2254,3,3,1964,"Meticulously maintained oversized cape in great location. This home offers a large living room, a formal dining room that opens up to a beautiful kitchen with wall to wall cabinetry and a large island. You will love the spacious main floor bathroom with whirlpool, stand up shower, and make-up vanity. Upper level is completed with 2 good size rooms and a half bath. The basement has been fully finished into a Master Suite with a Family Room, Office, Master bedroom and a full bath. The house also features a large covered Trex Deck, 2 car detached garage, freshly paved driveway with plenty of space and professionally kept landscaping with irrigation system. A MUST SEE!","5662 sqft",389900,"SingleFamily"
1830,3,2,1939,"This beautiful home is located on Candlewood Lake and is part of the private Candlewood Lake Club, whose amenities include a golf course, tennis courts, a summer day camp and more. This home is extremely close to the beachfront / lake and comes with a detached garage and a 4 person golf cart. Priced to sell at $880,000, this home has 3 bedrooms and 2 full baths.","15681 sqft",880000,"SingleFamily"
4006,4,5,1965,"Picturesque updated colonial w/outstanding curb appeal highlighted by manicured landscape beds,flowering trees & private level bck yrd! An extensive 2006 renovation added 1200 sf & elevated this home to the next level w/amazing upgrades throughout. Exceptional open flow begins in remodeled chefs kitchen w/6 burner Wolf range,fabulous tile backsplash,islnd,walk-in pantry,& breakfast bar opening to family room, where natural light streams in through well placed windows & door to expansive trex deck & stone patio.Warmer weather beckons owners & guests outside to sit & relax a while,or grab the yard games for fun on the level back lawn.The dining rm was thoughtfully redesigned to be enjoyed everday enhanced by oversized window & casually stylish wood ceiling. A quiet study & spacious frpl living rm complete the main level along w/an exceptional mudrm w/sep entrance,huge walk-in closet,built in bench/cubbies,& even a fireplace! The renovation added a new owners suite w/tray ceiling,2 walk/ins,spa bth-brand new carpet just installed! The addtl bdrms all have hrdwd & include ensuite bdr w/full bth & 2 addt'l bdrms sharing updtd hall bth.  Freshly painted walls in soothing neutral tones throughout interior.Exterior painted 2020. Bright w/o LL includes 28x22 rec rm, 23x14 office w/bth, & 17x11 wrk out rm - so many possibilities! Updates include: Buderas oil burner,new hot water tank 2019, new gutters 2021. Sought after Stony Corners location close to schools,shopping & wlk/bike paths!","63162 sqft",559900,"SingleFamily"
1062,2,1,1949,"Come see this unique home offering a large master bedroom, loft and additional room could be used as small bedroom or office. Enjoy your breakfast in the eat-in kitchen with the large bay window that brings in tons of natural light. Get cozy in the living room with the pellet stove that warms up the house and keeps costs low in the winter. Seller has stated a new septic tank has been installed approximately 4 years ago. With a few updates in this home, it could be a show stopper. Easy access to highways and shopping! Check out this property before it's gone.","16988 sqft",150000,"SingleFamily"
2687,3,3,1987,"Your home search stops here! Rare opportunity to own a home in the sought-after quiet neighborhood of ""Stonegate.” This beautiful Colonial, on a professionally manicured ¼ of an acre, exudes wonderful natural light and has been meticulously maintained and thoughtfully updated through the years. Freshly painted interior and new carpet add to the elegant open floor plan. Perfect for everyday living and entertaining both inside and out.  Gorgeous kitchen with granite counters, cherry cabinetry and stainless appliances is the center of the home and adds to the easy flow. Exterior deck and 3-season sun porch easily accessed by sliders from family room and dining room. Great room over garage offers ample space for multiple work-from-home employees.  Fall in love with the luxurious master bath with radiant floor heating, double sinks, stall shower and soaking tub. Granite counters, cherry cabinetry, dual towel warmers and sky light round out this masterpiece. Two additional family bedrooms, full bath and laundry complement this level. Unique to homes in this neighborhood, the heated unfinished basement with 9ft ceilings, windows and sliders to the backyard is ready for expansion and offers endless possibilities. Located within walking distance of places of worship, shopping, and vibrant downtown Stamford.  Easy access to Metro North, I-95 and the Merritt Parkway will make returning to the office a breeze. Have a dog? Invisible pet containment system installed on property!","10018 sqft",750000,"SingleFamily"
2047,4,2,1979,"Beautiful Colonial With Huge Master Suite!  Master Suite With Vaulted Ceilings, Skylight, and Walk-in Closets!  Family Room with Sliders to Huge Private Deck!  Newer Custom Kitchen with Granite, Baths, Roof, Gutters, Shed, Fencing and Well Pump!  4 Bedrooms!  Fireplace! Oak Floors! A Must See!!!","30056 sqft",299900,"SingleFamily"
2848,5,3,1967,"located in a quiet neighborhood on a cul-de-sac, this 5 bedroom Colonial is the place you want to be!  First floor consist of front to back formal living room with bay window, formal dining room, family room with fireplace, bay window and new flooring, Eat in kitchen with stainless appliances, granite counter tops, and two panty closets, entry way with slate flooring and dbl closet and a half bath with laundry hook up.  Upstairs you'll find a large master bedroom with full bath & walk in closet, three additional bed rooms and a second full bath with dbl sinks.  The lower level is a full, walk out, partly finished  basement consisting of a large recreation space and two other smaller rooms, a utility room, and a two car garage.  Freshly painted  throughout and recently refinished hardwood floors in all bedrooms, formal living room & dining room. There is a nice sized deck off the kitchen, a walk up attic, whole house fan and a shed.  All this on over an acre of land.  Book your showing today!  Additional pictures will be added within a day.","49658 sqft",329000,"SingleFamily"
2680,3,3,1958,"***SHOWINGS BEGIN 4/29!!*** Staycation Ranch in sought after East Granby Spice Nhood!! This is one floor living at it's BEST!! You will fall in love as soon as you walk in the front door. Very deceiving from the front, this home offers tremendous space & awesome flex open floor plan. Rear addition added & entire home remodeled over the recent years has created really the perfect home for many different needs. Direct entry from the enormous oversized 2 car garage to the fabulous super convenient tiled mudroom. Gorgeous vaulted ceiling granite kitchen w/huge eating space island is completely open to fireplaced dining & living room. In the cute nook off the living room lives the Vermont Casting woodstove that does an excellent job of helping heat the 1st floor if desired. This IS the home for entertaining! 4 different access doors to composite back deck & fully fenced backyard offer perfect flow for parties & everyday living! Part of the back deck is roof covered & off the vaulted ceiling master bedroom there is an enclosed porch w/access to deck. Like to garden? SO many different areas to show off your green thumb! All bedrooms & baths are spacious/updated. Wait until you go downstairs. It's like another home in the nearly full finished heated walkout LL w/bathroom, huge tiled fireplaced family room, spacious laundry room & separate room perfect for home office/sewing room, more! SO much nearby inc Farmington River, Cowles Park, breweries/wineries, amenities, commute access.","21780 sqft",339900,"SingleFamily"
6364,5,5,1978,"Welcome to 15 Treadwell Court, where gracious and easy living awaits in a beautiful sun drenched contemporary.  Located in Lower Weston on a Cul de sac with only 4 other homes, it offers wonderful views of nature in a private and serene setting on 2 acres. Sliders from living room and the family room bask this wonderful home with sunshine and warmth. The family room/great room floor to ceiling fireplace, cathedral ceiling and ambience lighting will take your breath away. The eat in kitchen is spacious, welcoming and bright. It has a brand new Miele cooktop and a new Smart double oven. An adjacent sun room can also double as a mud room with an separate entrance. On the 2nd floor, you have the Master Bedroom offering separate his and hers full baths and separate walk in closets. Plus, you can have your morning coffee on your own private MB deck.   The LL is completely finished and has a recreation room with a 2nd fireplace and newly installed carpeting throughout. A sauna on the LL can bring private relaxation away from the world.    A newly refinished LL  bonus room offers you the option of a yoga room or media/ theatre room. Schools are literally minutes away and downtown Westport and Compo beach is a 15 - 20 min. drive.   Enjoy all the seasons of your life at 15 Treadwell Court, surrounded by nature in your own private corner of the world, while just minutes to all the necessary conveniences for easy living. Welcome Home to bucolic Weston.","88862 sqft",1595000,"SingleFamily"
1392,4,2,1960,"Welcome to your new home!  This is a beautifully updated, well maintained split level home.  Enjoy your summer days bbq-ing on your recently redone back patio complimented by a great backyard big enough for family fun and yard games, fenced in to let the dogs join in on the fun!  Cap the night off roasting marshmallows and enjoying the soft glow from the fire coming from your custom built fire pit.  Easy access to I91, a short drive to all major shopping needs, and you can pick up some fresh veggies at the nearby local farm on your way home.  This home's lower level boasts an additional 4th bedroom that doubles as a home office with privacy and a full bath nearby, perfect for working from home.  With the additional 2 car detached garage, storage is a piece of cake.","30056 sqft",319900,"SingleFamily"
1405,3,1,1900,"LOADS OF CHARACTER in this charming updated antique home! This 3 br, 1 bath home is conveniently located off Rte. 67 and Rte. 8, and within close proximity to downtown Seymour’s shops, restaurants, train station, outdoor summer concert series, farmers’ market, and festivals! A distinctly beautiful stone wall greets you, and the front covered porch is a perfect place to enjoy your morning coffee or watch the world go by. The first floor features hardwood floors throughout and an updated kitchen, complete w/newer appliances (stainless steel & stainless-look), Corian countertops, glass tile backsplashes, and updated electrical. My favorite feature: the 5 ft. tall built-in spice cabinet! Living room boasts a floor-to-ceiling built-in bookcase and privacy swing door to the kitchen. Enclosed back porch off of the kitchen leads to the main deck, where you’ll enjoy spectacular sunsets overlooking the town! Walk around the deck and stone pavers lead you to a mid-level outdoor work area – great for those do-it-yourself projects or potted gardening enthusiasts - and a second, lower deck overlooking the low-maintenance yard. Back inside, you’ll find 3 brs & 1 bath on the second floor. Don’t forget to check out the “hidden” walk-in closet behind the bookcase in the 3rd bedroom! This unique home also features a HUGE walk-up attic as well as a true full walk-out basement which leads to the outdoor work area. Brand new roof in July 2018, new boiler in November 2017. What are you waiting for?","6098 sqft",254900,"SingleFamily"
6005,5,6,1992,"219 Saddle Hill Road is a stunning, spacious colonial offering 6 bedrooms and 5.5 bath. Set on a private, peaceful property, this home has large windows throughout offering lots of natural light. Located just minutes to Merritt, shops and various schools. Enjoy new air handlers, fresh paint, new finished floors and a brand new deck on the main floor overlooking the lawn with nature views of woods and pond. Walk-out lower level offers extra living space complete with gym, game room, family room with fireplace and living quarters complete with bedroom, sitting room and full bathroom.     You don’t want to miss this opportunity. Call right now to schedule your showing. Covid restrictions apply.","75358 sqft",1069000,"SingleFamily"
1433,4,2,1940,"Charming Cape Cod in desirable neighborhood - Rockledge golf course within walking distance!   Sweet home that is nicely updated.  White on White kitchen has great storage space, living room with fireplace and  stylish dining room .  Hardwood floors and soft neutral paint colors throughout.   Four bedrooms and two full updated baths give you nice, flexible space.  The backyard is the crown jewel of this home - a wonderful screened porch that leads to a perfect deck and then off to a private and fenced backyard. A yard anyone would enjoy!   A one car garage completes the package. Gas heat, thermopane windows and central air make this home efficient and economical.    It is all the small details that make this house so warm and welcoming.  As one might say this one is ""as cute as a button!""","6969 sqft",299900,"SingleFamily"
2012,3,3,1998,"Location. Location. Location. Here is your beautiful 3+BR home nestled at the end of a quiet cul de sac. Right in the Highcrest school district.  Enjoy all the fun of entertaining family and friends in your own private park-like yard out back.  You are going to love this setting.   Offering a Gazezbo and Lily pond for endless relaxation. Look forward to easy meals on the deck outside your kitchen or on the lower patio right up to the gleaming sunset. There is plenty of room to spread out and live your best life. Offering huge storage and room to park in your heated three car garage.  And right above the garage is 768SF bonus space waiting to be finished as a fourth bedroom or game space. This provides you the opportunity to easily expand your home to your own preference on the second floor. And there is more potential in the walk out lower level . Don’t miss this. Highest and Best offers by Monday, April 19th at 11:00 AM","23086 sqft",374900,"SingleFamily"
4256,4,4,1981,"Beautifully presented this 4 bedroom Colonial home is sited on high and level land. Exceptional pool house with heated gunite pool set this offering apart! Hoyt Farm association offers annual neighborhood block parties, holiday ornament exchange, Easter Egg hunts, ice cream socials and progressive dinners. Recreation on the quiet streets Hoyt Farm makes this a very special offering! Come be impressed. Generator!","98010 sqft",1895000,"SingleFamily"
3424,4,5,1734,"Wow! Gorgeously restored and meticulously cared for home that overlooks 3.3 park-like acres with ancient stone walls, barn and small pond - viewed and enjoyed all within the comfort of your fully fenced compound.  This 3/4 bedroom home has it all!  Charm and character galore but with all the modern conveniences. Updated kitchen w/ stainless appliances, warm, wide plank flooring throughout, 4 fireplaces and 4 full bathrooms .  A potential main level bedroom or studio space w/ 20' ceilings, exposed beams and loft. MBR with his and her walk-in closets, plus 2 other upstairs BR's both with access to private baths.  Enjoy your coffee or an evening cocktail out on your gorgeous stone patio with sitting wall, hot tub and fire pit while watching the fireflies light up the night sky. Property also has pony barn w/ tack and loft and your very own small pond for catching tad poles and frogs. Owners have invested over $250K dollars into the property and the new owners can enjoy, new, energy efficient windows, newer roof and newer mechanicals.  This property will speak to the sophisticated buyer who appreciates attention to detail.","143748 sqft",1079000,"SingleFamily"
3298,4,5,2007,"Custom built Nantucket-style colonial designed with unbelievable attention to detail and standards. Every inch of this home was well thought out, resulting in oodles of charm, with modern amenities, and built like a fortress. Upon entering you will be wowed by handmade pine doors, elegant moldings, detailed built-ins and chair rails, a coffered ceiling in the office, a gourmet chef's kitchen, wine cellar, and so much more. If 3,298 sq. ft., 4 bedrooms, and 3.5 bathrooms are not enough, additional living space can be made possible by finishing the huge walk-up attic or the extremely spacious, dry basement. The impeccably maintained fully fenced outside consists of a gorgeous 1/2-acre of lawn (ready for a pool if desired), an open-air porch, and heated 2 car garage with 1/2 bath - complete with an easily accessible storage loft. Be a part of a wonderful community with friendly neighbors who know each other well and get together annually for holidays and block parties. Just a short walk to town, restaurants, train, and the tranquil Milford Duck Pond. Truly a must see home in a picturesque setting.","20037 sqft",949000,"SingleFamily"
1547,3,3,1951,"Spacious full dormer custom cape with colonial charm located on a quiet cul-de-sac.  The master bedroom is spacious and has a walk-in closet and master bathroom.  Beautiful wide hardwood floors throughout, thermal windows, vinyl siding, 3 full baths (2 stand up showers and 1 claw-foot tub). Brand new furnace with 2 zones and the central air is about 3 years old. 200 amp service with a generator hook-up and a hook-up for a hot tub if you so choose.","12196 sqft",264900,"SingleFamily"
1404,3,2,1958,"GREAT INVESTMENT OPPORTUNITY AWAITS! CONVENIENTLY LOCATED SPLIT LEVEL WITH ATTACHED 2 CAR GARAGE. FAMILY ROOM WITH FIREPLACE, HARDWOOD FLOORING. GREAT COMMUTER LOCATION, CLOSE TO MAJOR HIGHWAYS, SCHOOLS, RESTAURANTS, SHOPPING. POSSIBILITIES ARE ENDLESS! PLEASE SEE AGENT TO AGENT REMARKS REGARDING OFFER SUBMISSION.","10454 sqft",355000,"SingleFamily"
1542,3,2,1963,"Beautifully Maintained Raised Ranch with White Vinyl and Brick Siding... Over 1500 square feet of Spacious Living... Offering 3-Beds, 1.5-Baths, 2-Car Attached Garage with Deck Overlooking Fenced-In and Level Backyard... Plus, Newer Hot Water Heater (5-years), Newer Windows (8-years), Central Air (10-years), Central Vac (11-years), Roof (15-years), Chimney Liner (10-years), Newer Garage Floor & Doors (5-years), Hardwood Flooring Throughout (and underneath carpeting too)... Lower-Level includes 300-sqft of Finished Area with Half Bath, Laundry Room and Walkout Access to Garage... Located in a lovely neighborhood within minutes to so many amenities!","20037 sqft",359900,"SingleFamily"
1506,3,3,1964,"WOW! Welcome home to your newly remodeled raised ranch located minutes to Town Center and NY State line. Once you walk through the front door you will see the cathedral ceilings, beautiful crown molding, hardwood and tiled flooring all in an open floor plan. The stunning kitchen features stainless steel appliances, pot filler, custom 42"" upper cabinets with custom crown, plenty of soft close cabinets though out for storage.  Kitchen island has black granite countertop, with built-in microwave, more storage and seating.  Main countertops are similar to granite called Fantasy Brown Stone with grey tiled backsplash.  Located off the dining area are sliders to the back deck for outdoor grilling, entertaining or just relaxing.  Each bathroom has new Kohler fixtures and toilets.  The master bedroom offers hardwood flooring, a trey ceiling with fan and crown molding.  Custom built in closets throughout the home.  The lower level is perfect for watching the games on the multiple flat screen Tv's located at the custom built-in bar area with refrigerator, sink and illuminating colored lighting where seated.  The flooring and walls are beautifully tiled to perfection.  Central A/C including vent in the attic to maintain temperature control during warmer months. Spray foam insulation in walls and attic, sound deadening insulation on all interior walls.  Automatic backup generator (Generac) for entire house. Climate controlled heat/A/C in garage and has slop sink.","43560 sqft",479000,"SingleFamily"
8430,6,8,1928,"East Rock/Prospect Hill. Minutes down the coveted Hill to Yale and downtown New Haven. This sophisticated 8,430 sq ft Tudor mansion has 6 bedrooms, 8 bathrooms, 4 fireplaces, an in-ground  heated pool, and a stunning separate one bedroom guest house with lavish kitchen and central air. A circular driveway welcomes guests with a two car garage with beautiful wood doors, stone patios, landscaped gardens, and the private backyard with terrace which complete the exterior of the property. The interior was custom designed and renovated for two years with the highest level of workmanship and materials, 10 ft+ ceilings, front and back staircases. The first floor boasts a grand foyer which leads to the formal living room with oak paneling, intricate moldings, built in bookshelves, and a 5 ft fireplace with rose carvings, french doors to terrace lead into a formal dining room, conservatory with palladian windows, a mahogany library with extensive built-ins, and a family room with an interior balcony, cathedral ceiling, full bathroom and wet bar! The architect designed 40 ft kitchen is the centerpiece; every upscale appliance and gadget one can imagine; boasts granite, limestone backsplash and slate floors with a Butlers pantry. Upstairs there are 6 bedrooms/5 bathrooms on two floors and a dazzling 1,000 sq ft master bedroom suite with fireplace, dressing room, office and a luxurious marble bathroom with jacuzzi tub and separate steam shower. Work and entertain by the pool this summer!","33976 sqft",1499000,"SingleFamily"
5168,4,4,2001,"Privacy awaits you in this stately home, with a total of 5,168 sf on 2.31 acres. As you drive up upon this well-manicured home, you will immediately feel like you are approaching your own private compound. Upon entering, you will feel the warmth of being home in the brightly lit sun filled spaces. 30 Marlin Road proudly features, 4 bedrooms, 3.5 baths, upper-level laundry area, walk up staircase to attic space with the potential for expansion & additional living space (possible 5th bedroom), finished lower level studio apartment, featuring: a fully equipped additional kitchen, full bath, dining area, family room, an abundance of storage, and sliders that walk out onto its own private patio. The lower level 1,200 sf of living space makes for a fabulous in-law set-up. In your leisure, enjoy the very private and tranquil 2.31 acres of property, featuring: a heated inground Gunite pool and spa, w/ a saltwater chlorinator system, surrounded by an expansive pool deck, mature plantings and specimen trees, large garden shed, deck off main floor, and playscape area. Updates include: freshly painted rooms, refinished hardwood floors (2019), new washer & dryer (2019), new refrigerator in lower-level apartment, hybrid electric water heater (2019), new pool mechanicals -two high-capacity pumps, filter, propane heater, new playscape, landscape overhaul with the additions of a pollinator garden adjacent to pool. This house simply put -has it all!","100623 sqft",760000,"SingleFamily"
